rowname model jaccard
NT5014 YK0001 0.45531197301854975
NT5014 YK0002 0.41622574955908287
NT5019 NT5001 0.2345679012345679
NT5019 NT5002 0.274442538593482
NT5019 NT5003 0.22876949740034663
NT5019 NT5004 0.2226027397260274
NT5019 NT5005 0.3787878787878788
NT5019 NT5006 0.3562822719449225
NT5019 NT5007 0.5582608695652174
NT5019 NT5008 0.3513513513513513
NT5019 NT5009 0.32941176470588235
NT5019 NT5011 0.33671742808798644
NT5019 NT5013 0.35888501742160284
NT5019 NT5014 0.3911504424778761
NT5019 NT5019 0
NT5019 NT5020 0.32667876588021777
NT5019 NT5021 0.3459552495697074
NT5019 NT5022 0.4631578947368421
NT5019 NT5023 0.37436762225969644
NT5019 NT5024 0.35858585858585856
NT5019 NT5025 0.4473229706390328
NT5019 NT5026 0.3662613981762918
NT5019 NT5032 0.4114754098360656
NT5019 NT5037 0.3508771929824561
NT5019 NT5038 0.44273504273504266
NT5019 NT5040 0.37742504409171074
NT5019 NT5042 0.48460291734197725
NT5019 NT5044 0.4491978609625668
NT5019 NT5045 0.375
NT5019 NT5046 0.3656462585034014
NT5019 NT5048 0.3785594639865996
NT5019 NT5049 0.21206896551724136
NT5019 NT5051 0.24247787610619473
NT5019 NT5052 0.26970227670753066
NT5019 NT5068 0.3980424143556281
NT5019 NT5072 0.4765886287625419
NT5019 NT5074 0.25084745762711863
NT5019 NT5075 0.34782608695652173
NT5019 NT5076 0.32387312186978295
NT5019 NT5077 0.37983425414364635
NT5019 YK0001 0.3516666666666667
NT5019 YK0002 0.4363929146537842
NT5020 NT5001 0.2859744990892532
NT5020 NT5002 0.3046594982078853
NT5020 NT5003 0.26353790613718414
NT5020 NT5004 0.30502599653379553
NT5020 NT5005 0.37003610108303253
NT5020 NT5006 0.415929203539823
NT5020 NT5007 0.49804687499999994
NT5020 NT5008 0.4500846023688664
NT5020 NT5009 0.40885860306643956
NT5020 NT5011 0.38917975567190227
NT5020 NT5013 0.4050632911392405
NT5020 NT5014 0.302
NT5020 NT5019 0.32667876588021777
NT5020 NT5020 0
NT5020 NT5021 0.34981684981684985
NT5020 NT5022 0.47476635514018695
NT5020 NT5023 0.4467353951890034
